1	Liam	20,802	1.5082744099443732	Olivia	15,270	1.311492868811205
2	Noah	18,995	1.3772556685363604	Emma	13,527	1.1617920128624213
3	Oliver	14,741	1.0688142042587254	Charlotte	12,596	1.0818313147050387
4	James	11,670	0.8461475994640341	Amelia	12,311	1.0573535499629827
5	Elijah	11,452	0.8303412432786733	Sophia	11,944	1.0258330599267214
6	Mateo	11,229	0.8141723559881439	Mia	11,359	0.9755892270351328
7	Theodore	11,041	0.8005411864337961	Isabella	10,808	0.9282655485338248
8	Henry	10,941	0.7932905643304196	Ava	9,682	0.8315569060792461
9	Lucas	10,842	0.7861124484480768	Evelyn	9,082	0.7800247697801811
10	William	10,598	0.7684209305158383	Luna	7,811	0.670862527719995
11	Benjamin	10,172	0.7375332803554545	Harper	7,769	0.6672552781790605
12	Levi	9,347	0.6777156480025986	Sofia	7,641	0.6562617557685932
13	Sebastian	8,865	0.6427676494643241	Camila	7,565	0.6497343518373783
14	Jack	8,683	0.6295715172361789	Eleanor	6,739	0.5787917775323321
15	Ezra	8,437	0.6117349868618728	Elizabeth	6,566	0.563933344899435
16	Michael	8,383	0.6078196509260494	Violet	6,342	0.5446946806811175
17	Daniel	8,356	0.6058619829581378	Scarlett	6,288	0.5400567884142016
18	Leo	8,120	0.5887505147941693	Emily	6,154	0.5285479446407437
19	Owen	7,985	0.5789621749546111	Hazel	6,154	0.5285479446407437
20	Samuel	7,973	0.5780921003022059	Lily	6,146	0.5278608494900895
21	Hudson	7,935	0.5753368639029229	Gianna	6,129	0.5264007722949493
22	Alexander	7,875	0.570986490640897	Aurora	6,054	0.5199592552575661
23	Asher	7,853	0.5693913537781542	Penelope	6,041	0.5188427256377531
24	Luca	7,770	0.5633733374323516	Aria	5,996	0.5149778154153233
25	Ethan	7,763	0.5628657938851154	Nora	5,994	0.5148060416276596
26	John	7,750	0.5619232130116764	Chloe	5,960	0.5118858872373794
27	David	7,354	0.5332107494823056	Ellie	5,951	0.5111129051928934
28	Jackson	7,284	0.5281353140099421	Mila	5,895	0.506303239138314
29	Joseph	7,237	0.5247275216213552	Avery	5,859	0.5032113109603701
30	Mason	7,237	0.5247275216213552	Layla	5,678	0.48766578317681875
31	Luke	7,217	0.5232773972006799	Abigail	5,661	0.48620570598167867
32	Matthew	7,190	0.5213197292327681	Ella	5,643	0.48465974189270666
33	Julian	7,078	0.5131990324769865	Isla	5,357	0.46009609025681897
34	Dylan	7,054	0.5114588831721761	Eliana	5,329	0.45769125722952925
35	Elias	6,980	0.5060934228156776	Nova	5,248	0.4507344188291555
36	Jacob	6,976	0.5058033979315426	Madison	5,160	0.4431763721719593
37	Maverick	6,962	0.5047883108370699	Zoe	5,160	0.4431763721719593
38	Gabriel	6,745	0.4890544608727429	Ivy	5,036	0.4325263973368192
39	Logan	6,686	0.48477659383175076	Grace	4,886	0.4196433632620529
40	Aiden	6,675	0.4839790254003794	Lucy	4,858	0.4172385302347632
41	Thomas	6,598	0.4783960463807795	Willow	4,727	0.4059873471428007
42	Isaac	6,581	0.4771634406232054	Emilia	4,670	0.40109179419438956
43	Miles	6,558	0.47549579753942883	Riley	4,617	0.3965397888213054
44	Grayson	6,449	0.4675926194467485	Naomi	4,456	0.3827119989143897
45	Santiago	6,328	0.458819366701663	Victoria	4,434	0.3808224872500906
46	Anthony	6,237	0.45222130058759047	Stella	4,357	0.3742091964250439
47	Wyatt	6,237	0.45222130058759047	Elena	4,261	0.36596405461719356
48	Carter	5,847	0.4239438743844222	Hannah	4,102	0.3523080384979413
49	Jayden	5,627	0.4079925057569939	Valentina	4,075	0.3499890923644834
50	Ezekiel	5,569	0.4037871449370356	Maya	4,067	0.34930199721382915
51	Caleb	5,488	0.39791414103330064	Zoey	4,040	0.34698305108037125
52	Cooper	5,425	0.39334624910817345	Delilah	4,031	0.34621006903588525
53	Josiah	5,404	0.3918236184664644	Leah	3,953	0.33951089131700685
54	Charles	5,395	0.39117106247716055	Lainey	3,928	0.3373637189712124
55	Christopher	5,171	0.37492966896559726	Lillian	3,927	0.33727783207738066
56	Isaiah	5,121	0.37130435791390903	Paisley	3,727	0.32010045331102566
57	Nolan	5,112	0.3706518019246051	Genesis	3,651	0.31357304937981073
58	Cameron	5,069	0.36753403442015325	Madelyn	3,632	0.311941198397007
59	Nathan	5,049	0.366083909999478	Sadie	3,586	0.30799040128074534
60	Joshua	5,035	0.36506882290500525	Sophie	3,578	0.30730330613009116
61	Kai	4,946	0.3586157692330002	Leilani	3,543	0.304297264845979
62	Waylon	4,881	0.35390286486580547	Addison	3,520	0.3023218662878482
63	Angel	4,865	0.3527427653292653	Natalie	3,418	0.2935614031170071
64	Lincoln	4,842	0.35107512224548865	Josephine	3,347	0.28746343365495114
65	Andrew	4,781	0.346652242762429	Alice	3,336	0.2865186778228016
66	Roman	4,777	0.3463622178782939	Ruby	3,333	0.2862610171413063
67	Adrian	4,646	0.3368639029228708	Claire	3,195	0.2744086257925213
68	Aaron	4,551	0.32997581192466313	Kinsley	3,188	0.27380741753569887
69	Wesley	4,539	0.329105737272258	Everly	3,159	0.2713166976145774
70	Ian	4,538	0.3290332310512242	Emery	3,104	0.26659291845382976
71	Thiago	4,505	0.32664052575710995	Adeline	3,074	0.26401631163887657
72	Axel	4,498	0.32613298220987363	Kennedy	3,069	0.2635868771697177
73	Brooks	4,469	0.32403030179989445	Maeve	3,046	0.26161147861158685
74	Bennett	4,411	0.3198249409799361	Audrey	3,032	0.26040906209794196
75	Weston	4,356	0.31583709882307903	Autumn	3,001	0.25774656838915694
